2023,2022,2021,2020,2019,2018,2017,2016,2016-2017
UNITID,UNITID,UNITID,UNITID,UNITID,UNITID,UNITID,UNITID,Match
INSTNM,INSTNM,INSTNM,INSTNM,INSTNM,INSTNM,INSTNM,INSTNM,Match
IALIAS,IALIAS,IALIAS,IALIAS,IALIAS,IALIAS,IALIAS,IALIAS,Match
ADDR,ADDR,ADDR,ADDR,ADDR,ADDR,ADDR,ADDR,Match
CITY,CITY,CITY,CITY,CITY,CITY,CITY,CITY,Match
STABBR,STABBR,STABBR,STABBR,STABBR,STABBR,STABBR,STABBR,Match
ZIP,ZIP,ZIP,ZIP,ZIP,ZIP,ZIP,ZIP,Match
FIPS,FIPS,FIPS,FIPS,FIPS,FIPS,FIPS,FIPS,Match
OBEREG,OBEREG,OBEREG,OBEREG,OBEREG,OBEREG,OBEREG,OBEREG,Match
CHFNM,CHFNM,CHFNM,CHFNM,CHFNM,CHFNM,CHFNM,CHFNM,Match
CHFTITLE,CHFTITLE,CHFTITLE,CHFTITLE,CHFTITLE,CHFTITLE,CHFTITLE,CHFTITLE,Match
GENTELE,GENTELE,GENTELE,GENTELE,GENTELE,GENTELE,GENTELE,GENTELE,Match
EIN,EIN,EIN,EIN,EIN,EIN,EIN,EIN,Match
UEIS,UEIS,DUNS,DUNS,DUNS,DUNS,DUNS,DUNS,Match
OPEID,OPEID,OPEID,OPEID,OPEID,OPEID,OPEID,OPEID,Match
OPEFLAG,OPEFLAG,OPEFLAG,OPEFLAG,OPEFLAG,OPEFLAG,OPEFLAG,OPEFLAG,Match
WEBADDR,WEBADDR,WEBADDR,WEBADDR,WEBADDR,WEBADDR,WEBADDR,WEBADDR,Match
ADMINURL,ADMINURL,ADMINURL,ADMINURL,ADMINURL,ADMINURL,ADMINURL,ADMINURL,Match
FAIDURL,FAIDURL,FAIDURL,FAIDURL,FAIDURL,FAIDURL,FAIDURL,FAIDURL,Match
APPLURL,APPLURL,APPLURL,APPLURL,APPLURL,APPLURL,APPLURL,APPLURL,Match
NPRICURL,NPRICURL,NPRICURL,NPRICURL,NPRICURL,NPRICURL,NPRICURL,NPRICURL,Match
VETURL,VETURL,VETURL,VETURL,VETURL,VETURL,VETURL,VETURL,Match
ATHURL,ATHURL,ATHURL,ATHURL,ATHURL,ATHURL,ATHURL,ATHURL,Match
DISAURL,DISAURL,DISAURL,DISAURL,DISAURL,DISAURL,DISAURL,DISAURL,Match
SECTOR,SECTOR,SECTOR,SECTOR,SECTOR,SECTOR,SECTOR,SECTOR,Match
ICLEVEL,ICLEVEL,ICLEVEL,ICLEVEL,ICLEVEL,ICLEVEL,ICLEVEL,ICLEVEL,Match
CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,Match
HLOFFER,HLOFFER,HLOFFER,HLOFFER,HLOFFER,HLOFFER,HLOFFER,HLOFFER,Match
UGOFFER,UGOFFER,UGOFFER,UGOFFER,UGOFFER,UGOFFER,UGOFFER,UGOFFER,Match
GROFFER,GROFFER,GROFFER,GROFFER,GROFFER,GROFFER,GROFFER,GROFFER,Match
HDEGOFR1,HDEGOFR1,HDEGOFR1,HDEGOFR1,HDEGOFR1,HDEGOFR1,HDEGOFR1,HDEGOFR1,Match
DEGGRANT,DEGGRANT,DEGGRANT,DEGGRANT,DEGGRANT,DEGGRANT,DEGGRANT,DEGGRANT,Match
HBCU,HBCU,HBCU,HBCU,HBCU,HBCU,HBCU,HBCU,Match
HOSPITAL,HOSPITAL,HOSPITAL,HOSPITAL,HOSPITAL,HOSPITAL,HOSPITAL,HOSPITAL,Match
MEDICAL,MEDICAL,MEDICAL,MEDICAL,MEDICAL,MEDICAL,MEDICAL,MEDICAL,Match
TRIBAL,TRIBAL,TRIBAL,TRIBAL,TRIBAL,TRIBAL,TRIBAL,TRIBAL,Match
LOCALE,LOCALE,LOCALE,LOCALE,LOCALE,LOCALE,LOCALE,LOCALE,Match
OPENPUBL,OPENPUBL,OPENPUBL,OPENPUBL,OPENPUBL,OPENPUBL,OPENPUBL,OPENPUBL,Match
ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,Match
NEWID,NEWID,NEWID,NEWID,NEWID,NEWID,NEWID,NEWID,Match
DEATHYR,DEATHYR,DEATHYR,DEATHYR,DEATHYR,DEATHYR,DEATHYR,DEATHYR,Match
CLOSEDAT,CLOSEDAT,CLOSEDAT,CLOSEDAT,CLOSEDAT,CLOSEDAT,CLOSEDAT,CLOSEDAT,Match
CYACTIVE,CYACTIVE,CYACTIVE,CYACTIVE,CYACTIVE,CYACTIVE,CYACTIVE,CYACTIVE,Match
POSTSEC,POSTSEC,POSTSEC,POSTSEC,POSTSEC,POSTSEC,POSTSEC,POSTSEC,Match
PSEFLAG,PSEFLAG,PSEFLAG,PSEFLAG,PSEFLAG,PSEFLAG,PSEFLAG,PSEFLAG,Match
PSET4FLG,PSET4FLG,PSET4FLG,PSET4FLG,PSET4FLG,PSET4FLG,PSET4FLG,PSET4FLG,Match
RPTMTH,RPTMTH,RPTMTH,RPTMTH,RPTMTH,RPTMTH,RPTMTH,RPTMTH,Match
INSTCAT,INSTCAT,INSTCAT,INSTCAT,INSTCAT,INSTCAT,INSTCAT,INSTCAT,Match
C21BASIC,C21BASIC,C21BASIC,C18BASIC,C18BASIC,C18BASIC,C15BASIC,C15BASIC,Match
C21IPUG,C21IPUG,C21IPUG,C18IPUG,C18IPUG,C18IPUG,C15IPUG,C15IPUG,Match
C21IPGRD,C21IPGRD,C21IPGRD,C18IPGRD,C18IPGRD,C18IPGRD,C15IPGRD,C15IPGRD,Match
C21UGPRF,C21UGPRF,C21UGPRF,C18UGPRF,C18UGPRF,C18UGPRF,C15UGPRF,C15UGPRF,Match
C21ENPRF,C21ENPRF,C21ENPRF,C18ENPRF,C18ENPRF,C18ENPRF,C15ENPRF,C15ENPRF,Match
C21SZSET,C21SZSET,C21SZSET,C18SZSET,C18SZSET,C18SZSET,C15SZSET,C15SZSET,Match
C18BASIC,C18BASIC,C18BASIC,C15BASIC,C15BASIC,C15BASIC,CCBASIC,CCBASIC,Match
C15BASIC,C15BASIC,C15BASIC,CCBASIC,CCBASIC,CCBASIC,CARNEGIE,CARNEGIE,Match
CCBASIC,CCBASIC,CCBASIC,CARNEGIE,CARNEGIE,CARNEGIE,LANDGRNT,LANDGRNT,Match
CARNEGIE,CARNEGIE,CARNEGIE,LANDGRNT,LANDGRNT,LANDGRNT,INSTSIZE,INSTSIZE,Match
LANDGRNT,LANDGRNT,LANDGRNT,INSTSIZE,INSTSIZE,INSTSIZE,F1SYSTYP,F1SYSTYP,Match
INSTSIZE,INSTSIZE,INSTSIZE,F1SYSTYP,F1SYSTYP,F1SYSTYP,F1SYSNAM,F1SYSNAM,Match
F1SYSTYP,F1SYSTYP,F1SYSTYP,F1SYSNAM,F1SYSNAM,F1SYSNAM,F1SYSCOD,F1SYSCOD,Match
F1SYSNAM,F1SYSNAM,F1SYSNAM,F1SYSCOD,F1SYSCOD,F1SYSCOD,CBSA,CBSA,Match
F1SYSCOD,F1SYSCOD,F1SYSCOD,CBSA,CBSA,CBSA,CBSATYPE,CBSATYPE,Match
CBSA,CBSA,CBSA,CBSATYPE,CBSATYPE,CBSATYPE,CSA,CSA,Match
CBSATYPE,CBSATYPE,CBSATYPE,CSA,CSA,CSA,NECTA,NECTA,Match
CSA,CSA,CSA,NECTA,NECTA,NECTA,COUNTYCD,COUNTYCD,Match
COUNTYCD,COUNTYCD,NECTA,COUNTYCD,COUNTYCD,COUNTYCD,COUNTYNM,COUNTYNM,Match
COUNTYNM,COUNTYNM,COUNTYCD,COUNTYNM,COUNTYNM,COUNTYNM,CNGDSTCD,CNGDSTCD,Match
CNGDSTCD,CNGDSTCD,COUNTYNM,CNGDSTCD,CNGDSTCD,CNGDSTCD,LONGITUD,LONGITUD,Match
LONGITUD,LONGITUD,CNGDSTCD,LONGITUD,LONGITUD,LONGITUD,LATITUDE,LATITUDE,Match
LATITUDE,LATITUDE,LONGITUD,LATITUDE,LATITUDE,LATITUDE,DFRCGID,DFRCGID,Match
DFRCGID,DFRCGID,LATITUDE,DFRCGID,DFRCGID,DFRCGID,DFRCUSCG,DFRCUSCG,Match
DFRCUSCG,DFRCUSCG,DFRCGID,DFRCUSCG,DFRCUSCG,DFRCUSCG,UNITID,UNITID,Match
UNITID,UNITID,DFRCUSCG,UNITID,UNITID,UNITID,STAT_IC,STAT_IC,Match
STAT_IC,STAT_IC,UNITID,STAT_IC,STAT_IC,STAT_IC,LOCK_IC,LOCK_IC,Match
LOCK_IC,LOCK_IC,STAT_IC,LOCK_IC,LOCK_IC,LOCK_IC,IMP_IC,IMP_IC,Match
IMP_IC,IMP_IC,LOCK_IC,IMP_IC,IMP_IC,IMP_IC,STAT_C,STAT_C,Match
STAT_C,STAT_C,IMP_IC,STAT_C,STAT_C,STAT_C,LOCK_C,LOCK_C,Match
LOCK_C,LOCK_C,STAT_C,LOCK_C,LOCK_C,LOCK_C,PRCH_C,PRCH_C,Match
PRCH_C,PRCH_C,LOCK_C,PRCH_C,PRCH_C,PRCH_C,IDX_C,IDX_C,Match
IDX_C,IDX_C,PRCH_C,IDX_C,IDX_C,IDX_C,PCC_F,PCC_F,Match
PCC_F,PCC_F,IDX_C,PCC_F,PCC_F,PCC_F,IMP_C,IMP_C,Match
IMP_C,IMP_C,PCC_F,IMP_C,IMP_C,IMP_C,STAT_E12,STAT_E12,Match
STAT_E12,STAT_E12,IMP_C,STAT_E12,STAT_E12,STAT_E12,LOCK_E12,LOCK_E12,Match
LOCK_E12,LOCK_E12,STAT_E12,LOCK_E12,LOCK_E12,LOCK_E12,PRCH_E12,PRCH_E12,Match
PRCH_E12,PRCH_E12,LOCK_E12,PRCH_E12,PRCH_E12,PRCH_E12,IDX_E12,IDX_E12,Match
IDX_E12,IDX_E12,PRCH_E12,IDX_E12,IDX_E12,IDX_E12,PCE12_F,PCE12_F,Match
PCE12_F,PCE12_F,IDX_E12,PCE12_F,PCE12_F,PCE12_F,IMP_E12,IMP_E12,Match
IMP_E12,IMP_E12,PCE12_F,IMP_E12,IMP_E12,IMP_E12,STAT_SFA,STAT_SFA,Match
STAT_SFA,STAT_SFA,IMP_E12,STAT_SFA,STAT_SFA,STAT_SFA,LOCK_SFA,LOCK_SFA,Match
LOCK_SFA,LOCK_SFA,STAT_SFA,LOCK_SFA,LOCK_SFA,LOCK_SFA,PRCH_SFA,PRCH_SFA,Match
